rfid	locomotor_cage	locomotor_t1_age	locomotor_t2_age	locomotor_t1_total_distance	locomotor_t1_rest_time	locomotor_t1_rest_episode_count	locomotor_t1_movement_episode_count	locomotor_t1_vertical_activity_count	locomotor_t1_center_time_legacy	locomotor_t2_total_distance	locomotor_t2_rest_time	locomotor_t2_rest_episode_count	locomotor_t2_movement_episode_count	locomotor_t2_vertical_activity_count	locomotor_t2_center_time_legacy	locomotor_fecal_boli_box	locomotor_fecal_boli_1	locomotor_fecal_boli_2	locomotor_fecal_boli_change	locomotor_fecal_boli_age_1	locomotor_fecal_boli_age_2
933000320047958	3	85	86	1975.75	379.43	166	171	1129	117.06	826.89	435.41	186	193	836	36.5	40	7	5	-2	85	86
933000320047959	4	85	86	3577.55	324.37	132	142	1589	167.15	1783.26	487.71	129	130	1117	155.81	30	0	0	0	85	86
933000320047960	3	85	86	3286.16	413.03	136	142	1594	243.84	2317.91	433.11	173	179	1224	309.97	38	5	5	0	85	86
933000320047962	4	85	86	2475.41	501.51	159	166	1378	53.16	2091.57	504.97	161	163	920	73.3	38	5	4	-1	85	86
933000320047963	4	81	82	1534.44	456.12	141	146	1102	202.89	1722.29	500.15	158	164	1180	147.99	12	5	4	-1	81	82
933000320047964	3	85	86	1581.64	482.39	150	155	1247	208.6	1842.15	453.66	167	169	1144	26.91	34	0	0	0	85	86
933000320047968	1	86	87	2678.77	381.79	124	132	1489	68.82	2198.08	454.2	168	176	1027	86.18	27	4	5	1	86	87
933000320047973	3	81	82	2726.33	233.18	123	137	1330	70.28	1752.67	379.73	157	161	1089	32.67	12	5	1	-4	81	82
933000320047975	2	85	86	3156.33	289.2	132	142	1540	148.83	1890.42	417.61	155	163	1088	57.11	27	6	3	-3	85	86
933000320124653	1	78	79	6432.06	292.16	139	148	2312	195.53	5025.46	358.62	135	140	2112	137.26	20	0	0	0	78	79
933000320124661	3	78	79	2170.74	537.48	146	149	1114	236	1819.65	440.09	156	159	1295	83.7	10	8	6	-2	78	79
933000320124662	4	79	80	4088.76	340.14	119	126	1370	190.49	4398.78	406.33	138	144	1261	124.77	24	4	7	3	79	80
933000320124667	1	76	77	2183.51	216.13	112	125	1591	91.29	1294.94	374.71	164	170	1096	13.03	11	0	0	0	76	77
